2011-04-25 08:37:46 Warning: Warning (2): include_once(/Users/adriencanterot/Sites/Cake/app/config/database.php) [<a href='http://php.net/function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory in [/Users/adriencanterot/Sites/Cake/cake/libs/model/connection_manager.php, line 23]
2011-04-25 08:37:46 Warning: Warning (2): include_once() [<a href='http://php.net/function.include'>function.include</a>]: Failed opening '/Users/adriencanterot/Sites/Cake/app/config/database.php' for inclusion (include_path='/Users/adriencanterot/Sites/Cake:/Users/adriencanterot/Sites/Cake/app/:.:/Applications/MAMP/bin/php5.2/lib/php') in [/Users/adriencanterot/Sites/Cake/cake/libs/model/connection_manager.php, line 23]
2011-04-25 08:37:46 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source default in [/Users/adriencanterot/Sites/Cake/cake/libs/model/connection_manager.php, line 102]
2011-04-25 08:53:53 Warning: Warning (2): include_once(/Users/adriencanterot/Sites/Cahier/app/config/database.php) [<a href='http://php.net/function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/connection_manager.php, line 23]
2011-04-25 08:53:53 Warning: Warning (2): include_once() [<a href='http://php.net/function.include'>function.include</a>]: Failed opening '/Users/adriencanterot/Sites/Cahier/app/config/database.php' for inclusion (include_path='/Users/adriencanterot/Sites/Cahier:/Users/adriencanterot/Sites/Cahier/app/:.:/Applications/MAMP/bin/php5.2/lib/php') in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/connection_manager.php, line 23]
2011-04-25 08:53:53 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source default in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/connection_manager.php, line 102]
2011-04-25 08:54:12 Warning: Warning (2): include_once(/Users/adriencanterot/Sites/Cahier/app/config/database.php) [<a href='http://php.net/function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/connection_manager.php, line 23]
2011-04-25 08:54:12 Warning: Warning (2): include_once() [<a href='http://php.net/function.include'>function.include</a>]: Failed opening '/Users/adriencanterot/Sites/Cahier/app/config/database.php' for inclusion (include_path='/Users/adriencanterot/Sites/Cahier:/Users/adriencanterot/Sites/Cahier/app/:.:/Applications/MAMP/bin/php5.2/lib/php') in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/connection_manager.php, line 23]
2011-04-25 08:54:12 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source default in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/connection_manager.php, line 102]
2011-04-25 08:54:13 Warning: Warning (2): include_once(/Users/adriencanterot/Sites/Cahier/app/config/database.php) [<a href='http://php.net/function.include-once'>function.include-once</a>]: failed to open stream: No such file or directory in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/connection_manager.php, line 23]
2011-04-25 08:54:13 Warning: Warning (2): include_once() [<a href='http://php.net/function.include'>function.include</a>]: Failed opening '/Users/adriencanterot/Sites/Cahier/app/config/database.php' for inclusion (include_path='/Users/adriencanterot/Sites/Cahier:/Users/adriencanterot/Sites/Cahier/app/:.:/Applications/MAMP/bin/php5.2/lib/php') in [/Users/adriencanterot/Sites/Cahier/cake/libs/model/connection_manager.php, line 23]
